img;method;execution_time;amount_superpixels;tp;tn;fp;fn;sensitivity;specifictity;precision;accuracy;iou
105;GRAB;17.220;225;22599.000;43032.000;3493.000;2876.000;0.887;0.925;0.866;0.912;0.780
114;GRAB;17.005;225;24366.000;45844.000;207.000;1583.000;0.939;0.996;0.992;0.975;0.932
14;GRAB;17.293;225;37796.000;32648.000;454.000;1102.000;0.972;0.986;0.988;0.978;0.960
15;GRAB;16.775;225;20615.000;47332.000;3259.000;794.000;0.963;0.936;0.863;0.944;0.836
17;GRAB;17.401;225;18561.000;51613.000;748.000;1078.000;0.945;0.986;0.961;0.975;0.910
18;GRAB;16.753;225;16113.000;54346.000;754.000;787.000;0.953;0.986;0.955;0.979;0.913
26;GRAB;17.895;225;28599.000;40062.000;2315.000;1024.000;0.965;0.945;0.925;0.954;0.895
29;GRAB;16.960;225;30679.000;36901.000;518.000;3902.000;0.887;0.986;0.983;0.939;0.874
31;GRAB;17.715;225;21817.000;49380.000;152.000;651.000;0.971;0.997;0.993;0.989;0.965
33;GRAB;16.091;225;29189.000;41602.000;343.000;866.000;0.971;0.992;0.988;0.983;0.960
39;GRAB;18.051;225;25392.000;43480.000;233.000;2895.000;0.898;0.995;0.991;0.957;0.890
43;GRAB;16.778;225;23318.000;46904.000;470.000;1308.000;0.947;0.990;0.980;0.975;0.929
47;GRAB;16.620;225;24941.000;45716.000;133.000;1210.000;0.954;0.997;0.995;0.981;0.949
49;GRAB;17.756;225;16255.000;45136.000;107.000;10502.000;0.608;0.998;0.993;0.853;0.605
63;GRAB;16.668;225;6707.000;59637.000;0.000;5656.000;0.543;1.000;1.000;0.921;0.543
81;GRAB;17.690;225;16726.000;53491.000;168.000;1615.000;0.912;0.997;0.990;0.975;0.904
9;GRAB;17.183;225;23464.000;45702.000;2157.000;677.000;0.972;0.955;0.916;0.961;0.892
90;GRAB;18.346;225;31763.000;34576.000;10.000;5651.000;0.849;1.000;1.000;0.921;0.849
91;GRAB;16.611;225;28739.000;41464.000;169.000;1628.000;0.946;0.996;0.994;0.975;0.941
98;GRAB;17.747;225;33097.000;34925.000;753.000;3225.000;0.911;0.979;0.978;0.945;0.893
99;GRAB;16.201;225;23988.000;42583.000;414.000;5015.000;0.827;0.990;0.983;0.925;0.815